26-Jul-24 4:23:43 PM: # Cycle 00001 | Well H07, Position 00001 | Channel BRIGHT | Filter GFP | X:126559 Y:-12027 Z:7509
26-Jul-24 4:23:56 PM: # Cycle 00001 | Well H06, Position 00001 | Channel BRIGHT | Filter GFP | X:108784 Y:-12027 Z:7515
26-Jul-24 4:24:09 PM: # Cycle 00001 | Well H05, Position 00001 | Channel BRIGHT | Filter GFP | X:91009 Y:-12027 Z:7513
26-Jul-24 4:24:22 PM: # Cycle 00001 | Well H04, Position 00001 | Channel BRIGHT | Filter GFP | X:73231 Y:-12027 Z:7444
26-Jul-24 4:24:35 PM: # Cycle 00001 | Well H03, Position 00001 | Channel BRIGHT | Filter GFP | X:55456 Y:-12027 Z:7400
26-Jul-24 4:24:48 PM: # Cycle 00001 | Well H02, Position 00001 | Channel BRIGHT | Filter GFP | X:37679 Y:-12027 Z:7360
26-Jul-24 4:25:01 PM: # Cycle 00001 | Well H01, Position 00001 | Channel BRIGHT | Filter GFP | X:19904 Y:-12027 Z:7250
26-Jul-24 8:09:31 PM: # Cycle 00002 | Well A01, Position 00001 | Channel BRIGHT | Filter GFP | X:19905 Y:-137307 Z:7136
26-Jul-24 8:09:44 PM: # Cycle 00002 | Well A02, Position 00001 | Channel BRIGHT | Filter GFP | X:37683 Y:-137307 Z:7248
26-Jul-24 8:09:58 PM: # Cycle 00002 | Well A03, Position 00001 | Channel BRIGHT | Filter GFP | X:55454 Y:-137307 Z:7092
26-Jul-24 8:10:10 PM: # Cycle 00002 | Well A04, Position 00001 | Channel BRIGHT | Filter GFP | X:73233 Y:-137307 Z:7335
26-Jul-24 8:10:23 PM: # Cycle 00002 | Well A05, Position 00001 | Channel BRIGHT | Filter GFP | X:91008 Y:-137307 Z:7361
26-Jul-24 8:10:36 PM: # Cycle 00002 | Well A06, Position 00001 | Channel BRIGHT | Filter GFP | X:108784 Y:-137307 Z:7411
26-Jul-24 8:10:48 PM: # Cycle 00002 | Well A07, Position 00001 | Channel BRIGHT | Filter GFP | X:126559 Y:-137307 Z:7421
26-Jul-24 8:11:01 PM: # Cycle 00002 | Well A08, Position 00001 | Channel BRIGHT | Filter GFP | X:144335 Y:-137307 Z:7373
26-Jul-24 8:11:14 PM: # Cycle 00002 | Well A09, Position 00001 | Channel BRIGHT | Filter GFP | X:162111 Y:-137308 Z:7387
26-Jul-24 8:11:27 PM: # Cycle 00002 | Well A10, Position 00001 | Channel BRIGHT | Filter GFP | X:179887 Y:-137308 Z:7417
26-Jul-24 8:11:41 PM: # Cycle 00002 | Well A11, Position 00001 | Channel BRIGHT | Filter GFP | X:197665 Y:-137308 Z:7377
26-Jul-24 8:11:54 PM: # Cycle 00002 | Well A12, Position 00001 | Channel BRIGHT | Filter GFP | X:215442 Y:-137308 Z:7283
26-Jul-24 8:12:07 PM: # Cycle 00002 | Well B12, Position 00001 | Channel BRIGHT | Filter GFP | X:215441 Y:-119410 Z:7429
26-Jul-24 8:12:20 PM: # Cycle 00002 | Well B11, Position 00001 | Channel BRIGHT | Filter GFP | X:197665 Y:-119410 Z:7423
26-Jul-24 8:12:32 PM: # Cycle 00002 | Well B10, Position 00001 | Channel BRIGHT | Filter GFP | X:179888 Y:-119409 Z:7429
26-Jul-24 8:12:45 PM: # Cycle 00002 | Well B09, Position 00001 | Channel BRIGHT | Filter GFP | X:162113 Y:-119409 Z:7389
26-Jul-24 8:12:58 PM: # Cycle 00002 | Well B08, Position 00001 | Channel BRIGHT | Filter GFP | X:144337 Y:-119409 Z:7419
26-Jul-24 8:13:11 PM: # Cycle 00002 | Well B07, Position 00001 | Channel BRIGHT | Filter GFP | X:126560 Y:-119409 Z:7395
26-Jul-24 8:13:24 PM: # Cycle 00002 | Well B06, Position 00001 | Channel BRIGHT | Filter GFP | X:108783 Y:-119409 Z:7425
26-Jul-24 8:13:37 PM: # Cycle 00002 | Well B05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-119409 Z:7184
26-Jul-24 8:13:51 PM: # Cycle 00002 | Well B04, Position 00001 | Channel BRIGHT | Filter GFP | X:73231 Y:-119409 Z:7357
26-Jul-24 8:14:04 PM: # Cycle 00002 | Well B03, Position 00001 | Channel BRIGHT | Filter GFP | X:55456 Y:-119409 Z:7317
26-Jul-24 8:14:17 PM: # Cycle 00002 | Well B02, Position 00001 | Channel BRIGHT | Filter GFP | X:37681 Y:-119409 Z:7249
